顾客编号,大类名称,中类名称,小类名称,销售日期,销售数量,销售金额,商品单价
7,粮油,袋装速食面,猪肉口味,20150101,1.0,3.0,3.0
10,日配,冷藏乳品,冷藏果粒酸乳,20150101,1.0,8.9,8.9
26,冲调,冲调食品,麦片/粉,20150101,1.0,27.7,27.7
31,洗化,洗衣用品,洗衣皂,20150101,1.0,4.9,4.9
31,洗化,纸制品,软抽纸巾,20150101,1.0,9.7,9.7
49,蔬果,蔬菜,花果,20150101,0.902,8.98392,9.96
8,日配,常温乳品,利乐砖纯奶,20150101,1.0,65.0,65.0
51,洗化,卫生巾,夜用卫生巾,20150101,1.0,8.9,8.9
51,洗化,卫生巾,卫生护垫,20150101,1.0,11.9,11.9
7,粮油,袋装速食面组,牛肉口味,20150101,1.0,17.3,17.3
46,蔬果,水果,苹果类,20150101,1.776,8.84448,4.98
10,休闲,糕点,派,20150101,1.0,9.7,9.7
10,洗化,洗衣用品,洗衣液,20150101,1.0,24.9,24.9
24,粮油,调味酱,甜面/豆瓣酱,20150101,1.0,3.7,3.7
19,日配,常温乳品,利乐枕纯奶,20150101,16.0,43.2,2.7
19,粮油,液体调料,生抽酱油,20150101,1.0,7.9,7.9
19,洗化,洗护发用品,洗发水,20150101,1.0,9.5,9.5
2,蔬果,蔬菜,花果,20150101,0.708,1.82664,2.58
2,蔬果,蔬菜,花果,20150101,0.636,1.1448,1.8
20,粮油,南北干货,木耳,20150101,0.132,11.8536,89.8
2,蔬果,水果,梨类,20150101,1.922,6.11196,3.18
21,蔬果,蔬菜,根茎,20150101,0.656,1.67936,2.56
19,洗化,婴幼儿用品,婴幼儿护肤用品,20150101,1.0,1.5,1.5
24,熟食,现制中式面点,现制烙类,20150101,2.0,2.0,1.0
26,家居,厨房清洁,抹布,20150101,1.0,9.9,9.9
24,粮油,液体调料,料酒,20150101,1.0,1.1,1.1
31,肉禽,猪肉,猪骨,20150101,0.356,12.46,35.0
20,肉禽,猪肉,鲜猪肉,20150101,0.342,10.1916,29.8
32,洗化,洗浴用品,香皂,20150101,1.0,4.7,4.7
32,洗化,洗护发用品,洗发水,20150101,1.0,46.9,46.9
34,文体,笔类,圆珠笔,20150101,1.0,2.3,2.3
31,蔬果,蔬菜,菌菇类,20150101,1.0,5.8,5.8
20,蔬果,水果,梨类,20150101,0.92,14.6832,15.96
37,蔬果,水果,苹果类,20150101,0.858,10.27884,11.98
38,蔬果,水果,进口水果,20150101,0.266,4.2294,15.9
12,粮油,南北干货,红枣,20150101,0.366,13.8348,37.8
39,蔬果,蔬菜,花果,20150101,0.786,1.4148,1.8
40,日配,冷藏乳品,冷藏原味鲜乳,20150101,1.0,12.8,12.8
19,休闲,糖果,硬糖,20150101,1.0,4.0,4.0
12,熟食,现制中式面点,现制蒸类,20150101,0.53,3.18,6.0
31,洗化,纸制品,手帕纸,20150101,1.0,3.0,3.0
24,蔬果,加工豆类,豆腐,20150101,0.447,1.32312,2.96
21,蔬果,蔬菜,根茎,20150101,0.22,0.8756,3.98
37,蔬果,水果,蕉类,20150101,0.641,3.82036,5.96
39,粮油,盐/糖,功能盐,20150101,1.0,2.8,2.8
44,粮油,袋装速食面,干脆面,20150101,1.0,0.5,0.5
31,蔬果,加工豆类,豆腐,20150101,1.0,1.5,1.5
31,日配,冷冻火锅类,火锅丸类,20150101,0.544,17.7344,32.6
7,蔬果,蔬菜,叶菜,20150101,0.12,0.6672,5.56
21,水产,冰鲜水产,贝蛤类,20150101,0.5,15.0,30.0
46,蔬果,水果,柑桔柚类,20150101,2.018,4.036,2.0
38,蔬果,水果,柑桔柚类,20150101,0.366,2.92068,7.98
2,蔬果,水果,进口水果,20150101,0.278,4.4202,15.9
34,蔬果,蔬菜,叶菜,20150101,0.706,2.79576,3.96
34,文体,学生用品,修正液/带,20150101,1.0,3.3,3.3
47,蔬果,水果,柑桔柚类,20150101,0.286,2.86,10.0
17,蔬果,蔬菜,根茎,20150101,0.622,1.59232,2.56
17,日配,常温乳品,利乐枕加味奶,20150101,3.0,8.4,2.8
44,粮油,袋装速食面,干脆面,20150101,1.0,0.5,0.5
31,蔬果,其它加工,咸菜干货,20150101,0.072,0.144,2.0
37,酒饮,乳饮料,乳酸菌饮料,20150101,1.0,5.5,5.5
39,蔬果,水果,蕉类,20150101,0.871,5.19116,5.96
8,日配,常温乳品,利乐砖营养奶,20150101,1.0,62.0,62.0
38,蔬果,水果,苹果类,20150101,0.698,12.4244,17.8
38,蔬果,水果,苹果类,20150101,0.752,13.3856,17.8
34,粮油,煮食面/粉,鸡蛋挂面,20150101,1.0,5.9,5.9
46,蔬果,水果,进口水果,20150101,1.353,23.8128,17.6
10,日配,蛋类,新鲜蛋品,20150101,2.214,43.8372,19.8
10,洗化,卫生巾,日用卫生巾,20150101,1.0,3.9,3.9
52,休闲,蜜饯,梅,20150101,1.0,5.5,5.5
24,粮油,液体调料,生抽酱油,20150101,1.0,1.3,1.3
31,蔬果,蔬菜,菌菇类,20150101,0.224,4.032,18.0
37,休闲,即食熟制品,其他即食熟制品,20150101,1.0,2.7,2.7
2,蔬果,蔬菜,鲜调味,20150101,0.299,1.78802,5.98
51,休闲,膨化点心,袋装薯片,20150101,1.0,3.9,3.9
34,粮油,调味料,包装汤料,20150101,1.0,4.9,4.9
55,洗化,纸制品,无芯纸,20150101,1.0,1.7,1.7
56,休闲,饼干,威化,20150101,1.0,8.7,8.7
57,日配,冷藏乳品,冷藏果粒酸乳,20150101,1.0,11.8,11.8
57,休闲,饼干,夹心,20150101,1.0,6.9,6.9
32,粮油,液体调料,其他酱油,20150101,1.0,12.9,12.9
44,蔬果,蔬菜,根茎,20150101,0.452,1.808,4.0
31,粮油,调味酱,火锅底料,20150101,1.0,3.9,3.9
21,蔬果,蔬菜,叶菜,20150101,0.328,0.83968,2.56
21,蔬果,蔬菜,根茎,20150101,0.614,2.43144,3.96
58,蔬果,蔬菜,其它蔬菜,20150101,4.0,8.0,2.0
2,蔬果,水果,桃/李类,20150101,0.462,4.60152,9.96
51,休闲,巧克力,夹心巧克力,20150101,1.0,5.3,5.3
51,洗化,卫生巾,夜用卫生巾,20150101,1.0,9.9,9.9
6,蔬果,蔬菜,花果,20150101,0.47,1.2126,2.58
57,休闲,饼干,夹心,20150101,1.0,6.9,6.9
8,蔬果,水果,梨类,20150101,1.352,4.29936,3.18
57,洗化,纸制品,无芯纸,20150101,1.0,24.9,24.9
8,熟食,现制中式面点,现制蒸类,20150101,4.0,2.0,0.5
3,蔬果,水果,苹果类,20150101,1.244,6.19512,4.98
10,蔬果,蔬菜,鲜调味,20150101,0.573,3.75888,6.56
52,粮油,南北干货,红枣,20150101,0.308,11.6424,37.8
47,日配,蛋类,新鲜蛋品,20150101,1.084,21.4632,19.8
31,粮油,调味酱,甜面/豆瓣酱,20150101,1.0,2.0,2.0
47,蔬果,蔬菜,叶菜,20150101,0.416,1.06496,2.56
60,粮油,调味料,香辛粉,20150101,1.0,3.9,3.9
39,粮油,酱菜类,蔬菜,20150101,1.0,2.7,2.7
38,蔬果,水果,柑桔柚类,20150101,0.439,4.39,10.0
60,休闲,炒货,香瓜子,20150101,1.0,5.9,5.9
17,日配,常温乳品,利乐枕加味奶,20150101,3.0,8.4,2.8
51,酒饮,纯果汁,其他纯果汁,20150101,1.0,4.0,4.0
34,蔬果,水果,梨类,20150101,1.518,24.22728,15.96
49,蔬果,蔬菜,根茎,20150101,0.626,2.47896,3.96
49,蔬果,水果,进口水果,20150101,0.456,7.2504,15.9
55,洗化,卫生巾,夜用卫生巾,20150101,1.0,8.7,8.7
52,休闲,饼干,威化,20150101,0.144,2.8512,19.8
34,蔬果,蔬菜,花果,20150101,1.028,2.65224,2.58
34,文体,学生用品,修正液/带,20150101,1.0,4.7,4.7
19,洗化,纸制品,无芯纸,20150101,1.0,15.9,15.9
12,洗化,纸制品,软抽纸巾,20150101,1.0,9.7,9.7
55,洗化,洗衣用品,洗衣粉,20150101,1.0,19.9,19.9
44,蔬果,蔬菜,花果,20150101,0.456,4.54176,9.96
31,蔬果,加工豆类,豆干豆皮,20150101,0.08,0.6208,7.76
47,日配,冷藏乳品,冷藏果粒酸乳,20150101,3.0,26.7,8.9
44,肉禽,猪肉,鲜猪肉,20150101,0.27,8.046,29.8
