id,cname,mname,sname,date,svolume,mount,price
2,蔬果,蔬菜,花果,20230101,0.708,1.82664,2.58
2,蔬果,蔬菜,花果,20230101,0.636,1.1448,1.8
2,蔬果,水果,梨类,20230101,1.922,6.11196,3.18
2,蔬果,水果,进口水果,20230101,0.278,4.4202,15.9
2,蔬果,蔬菜,鲜调味,20230101,0.299,1.78802,5.98
2,蔬果,水果,桃/李类,20230101,0.462,4.60152,9.96
2,蔬果,水果,梨类,20230101,1.842,5.85756,3.18
2,蔬果,蔬菜,根茎,20230101,0.598,1.0764,1.8
3,蔬果,水果,苹果类,20230101,1.244,6.19512,4.98
3,蔬果,水果,苹果类,20230101,0.504,6.03792,11.98
6,蔬果,蔬菜,花果,20230101,0.47,1.2126,2.58
6,日配,蛋类,咸蛋,20230101,0.774,14.706,19
7,粮油,袋装速食面,猪肉口味,20230101,1,3,3
7,粮油,袋装速食面组,牛肉口味,20230101,1,17.3,17.3
7,蔬果,蔬菜,叶菜,20230101,0.12,0.6672,5.56
8,日配,常温乳品,利乐砖纯奶,20230101,1,65,65
8,日配,常温乳品,利乐砖营养奶,20230101,1,62,62
8,蔬果,水果,梨类,20230101,1.352,4.29936,3.18
8,熟食,现制中式面点,现制蒸类,20230101,4,2,0.5
10,日配,冷藏乳品,冷藏果粒酸乳,20230101,1,8.9,8.9
10,休闲,糕点,派,20230101,1,9.7,9.7
10,洗化,洗衣用品,洗衣液,20230101,1,24.9,24.9
10,日配,蛋类,新鲜蛋品,20230101,2.214,43.8372,19.8
10,洗化,卫生巾,日用卫生巾,20230101,1,3.9,3.9
10,蔬果,蔬菜,鲜调味,20230101,0.573,3.75888,6.56
10,粮油,酱菜类,蔬菜,20230101,5,8.5,1.7
10,休闲,糕点,派,20230101,1,9.9,9.9
12,粮油,南北干货,红枣,20230101,0.366,13.8348,37.8
12,熟食,现制中式面点,现制蒸类,20230101,0.53,3.18,6
12,洗化,纸制品,软抽纸巾,20230101,1,9.7,9.7
12,蔬果,蔬菜,叶菜,20230101,2.862,5.60952,1.96
17,蔬果,蔬菜,根茎,20230101,0.622,1.59232,2.56
17,日配,常温乳品,利乐枕加味奶,20230101,3,8.4,2.8
17,日配,常温乳品,利乐枕加味奶,20230101,3,8.4,2.8
17,日配,冷藏肉制品,块状火腿,20230101,1,5.7,5.7
19,日配,常温乳品,利乐枕纯奶,20230101,16,43.2,2.7
19,粮油,液体调料,生抽酱油,20230101,1,7.9,7.9
19,洗化,洗护发用品,洗发水,20230101,1,9.5,9.5
19,洗化,婴幼儿用品,婴幼儿护肤用品,20230101,1,1.5,1.5
19,休闲,糖果,硬糖,20230101,1,4,4
19,洗化,纸制品,无芯纸,20230101,1,15.9,15.9
19,蔬果,水果,进口水果,20230101,1.262,22.2112,17.6
19,蔬果,水果,苹果类,20230101,1.236,14.80728,11.98
20,粮油,南北干货,木耳,20230101,0.132,11.8536,89.8
20,肉禽,猪肉,鲜猪肉,20230101,0.342,10.1916,29.8
20,蔬果,水果,梨类,20230101,0.92,14.6832,15.96
20,蔬果,蔬菜,根茎,20230101,0.206,1.1948,5.8
20,蔬果,蔬菜,叶菜,20230101,0.574,1.46944,2.56
21,蔬果,蔬菜,根茎,20230101,0.656,1.67936,2.56
21,蔬果,蔬菜,根茎,20230101,0.22,0.8756,3.98
21,水产,冰鲜水产,贝蛤类,20230101,0.5,15,30
21,蔬果,蔬菜,叶菜,20230101,0.328,0.83968,2.56
21,蔬果,蔬菜,根茎,20230101,0.614,2.43144,3.96
21,蔬果,水果,柑桔柚类,20230101,0.998,1.996,2
21,蔬果,蔬菜,花果,20230101,0.496,1.27968,2.58
21,蔬果,蔬菜,根茎,20230101,0.312,1.73472,5.56
21,蔬果,加工豆类,豆腐,20230101,0.402,1.18992,2.96
21,蔬果,蔬菜,根茎,20230101,0.45,3.42,7.6
24,粮油,调味酱,甜面/豆瓣酱,20230101,1,3.7,3.7
24,熟食,现制中式面点,现制烙类,20230101,2,2,1
24,粮油,液体调料,料酒,20230101,1,1.1,1.1
24,蔬果,加工豆类,豆腐,20230101,0.447,1.32312,2.96
24,粮油,液体调料,生抽酱油,20230101,1,1.3,1.3
24,蔬果,蔬菜,叶菜,20230101,0.252,3.024,12
24,休闲,糕点,其他糕点,20230101,1,6.9,6.9
24,粮油,液体调料,陈醋,20230101,1,1.7,1.7
26,冲调,冲调食品,麦片/粉,20230101,1,27.7,27.7
26,家居,厨房清洁,抹布,20230101,1,9.9,9.9
26,冲调,奶粉,全脂奶粉,20230101,1,19.9,19.9
31,洗化,洗衣用品,洗衣皂,20230101,1,4.9,4.9
31,洗化,纸制品,软抽纸巾,20230101,1,9.7,9.7
31,肉禽,猪肉,猪骨,20230101,0.356,12.46,35
31,蔬果,蔬菜,菌菇类,20230101,1,5.8,5.8
31,洗化,纸制品,手帕纸,20230101,1,3,3
31,蔬果,加工豆类,豆腐,20230101,1,1.5,1.5
31,日配,冷冻火锅类,火锅丸类,20230101,0.544,17.7344,32.6
31,蔬果,其它加工,咸菜干货,20230101,0.072,0.144,2
31,蔬果,蔬菜,菌菇类,20230101,0.224,4.032,18
31,粮油,调味酱,火锅底料,20230101,1,3.9,3.9
31,粮油,调味酱,甜面/豆瓣酱,20230101,1,2,2
31,蔬果,加工豆类,豆干豆皮,20230101,0.08,0.6208,7.76
31,休闲,炒货,香瓜子,20230101,0.186,3.162,17
31,蔬果,加工豆类,豆类料理,20230101,0.082,2.2304,27.2
31,酒饮,黄酒,普通黄酒,20230101,1,12.9,12.9
31,蔬果,蔬菜,叶菜,20230101,0.244,2.928,12
32,洗化,洗浴用品,香皂,20230101,1,4.7,4.7
32,洗化,洗护发用品,洗发水,20230101,1,46.9,46.9
32,粮油,液体调料,其他酱油,20230101,1,12.9,12.9
32,洗化,洗浴用品,香皂,20230101,1,4.7,4.7
34,文体,笔类,圆珠笔,20230101,1,2.3,2.3
34,蔬果,蔬菜,叶菜,20230101,0.706,2.79576,3.96
34,文体,学生用品,修正液/带,20230101,1,3.3,3.3
34,粮油,煮食面/粉,鸡蛋挂面,20230101,1,5.9,5.9
34,粮油,调味料,包装汤料,20230101,1,4.9,4.9
