顾客编号	大类名称	中类名称	小类名称	销售日期	销售数量	销售金额	商品单价
7	粮油	袋装速食面	猪肉口味	20150101	1	3	3
35	粮油	调味酱	番茄酱	20150101	1	6.7	6.7
10	日配	冷藏乳品	冷藏果粒酸乳	20150101	1	8.9	8.9
26	冲调	冲调食品	麦片/粉	20150101	1	27.7	27.7
31	洗化	洗衣用品	洗衣皂	20150101	1	4.9	4.9
31	洗化	纸制品	软抽纸巾	20150101	1	9.7	9.7
49	蔬果	蔬菜	花果	20150101	0.902	8.98392	9.96
8	日配	常温乳品	利乐砖纯奶	20150101	1	65	65
15	家居	打扫用品	胶棉拖把	20150101	1	70	70
50	休闲	糖果	软糖	20150101	1	10.9	10.9
1	蔬果	蔬菜	芽菜	20150101	0.456	1.26768	2.78
51	洗化	卫生巾	夜用卫生巾	20150101	1	8.9	8.9
51	洗化	卫生巾	卫生护垫	20150101	1	11.9	11.9
45	蔬果	蔬菜	鲜调味	20150101	0.24	2.304	9.6
7	粮油	袋装速食面组	牛肉口味	20150101	1	17.3	17.3
22	洗化	纸制品	无芯纸	20150101	1	24.9	24.9
9	休闲	饼干	趣味/休闲	20150101	1	6.9	6.9
46	蔬果	水果	苹果类	20150101	1.776	8.84448	4.98
10	休闲	糕点	派	20150101	1	9.7	9.7
10	洗化	洗衣用品	洗衣液	20150101	1	24.9	24.9
11	蔬果	蔬菜	花果	20150101	0.496	3.8688	7.8
24	粮油	调味酱	甜面/豆瓣酱	20150101	1	3.7	3.7
19	日配	常温乳品	利乐枕纯奶	20150101	16	43.2	2.7
19	粮油	液体调料	生抽酱油	20150101	1	7.9	7.9
19	洗化	洗护发用品	洗发水	20150101	1	9.5	9.5
2	蔬果	蔬菜	花果	20150101	0.708	1.82664	2.58
2	蔬果	蔬菜	花果	20150101	0.636	1.1448	1.8
20	粮油	南北干货	木耳	20150101	0.132	11.8536	89.8
2	蔬果	水果	梨类	20150101	1.922	6.11196	3.18
21	蔬果	蔬菜	根茎	20150101	0.656	1.67936	2.56
16	洗化	洗护发用品	润发护发	20150101	1	37.9	37.9
22	烘焙	现制西式糕点	现制西式糕点	20150101	0.384	6.144	16
18	蔬果	蔬菜	根茎	20150101	0.988	3.91248	3.96
19	洗化	婴幼儿用品	婴幼儿护肤用品	20150101	1	1.5	1.5
